nombre;generos;desarrollador;Palabrasclaves;LeGusta
Resident Evil 7;Survival Horror,Accion,Terror;Capcom;Armas,Tiros,Psicologico,Apocalipsis;0
Amnesia The Dark Descent;Terror,Supervivencia,Puzle;Frictional Games;Psicologico,Sangriento,Buena Fisica;0
Curse of the Dead Gods;Rogue Like,Accion,Fantasia Oscura;Focus Entertainment;Dificil,SoulsLike,Sangriento,Runs,Rodar;1
StarCraft;Estrategia en Tiempo Real,Ciencia Ficcion,Multijugador;Blizzard;Online,Moba,Tactico,Dificil;0
Dark Souls;Accion,Rpg,Aventura;FromSoftware;Dificil,SoulsLike,Superacion,Satisfactorio,Rodar;1
Kena Bridge of Spirits;Accion,Aventura,Rpg;Ember Lab;Dificil,SoulsLike,Superacion,Satisfactorio,Rodar,Magia;1
Clash Artifacts of Chaos;Accion,Aventura,Rpg;Nacon;SoulsLike,Buena Historia,Revolucionario,Rodar;1
Wu Long Fallen Dynasty;Accion,Aventura,Rpg;KOEI TECMO GAMES CO;Dificil,SoulsLike,Superacion,Satisfactorio,Rodar;1
Deaths Door;Accion,Aventura,Rpg;Devolver Digital;SoulsLike,Rodar;1
Nioh;Rpg,Accion,Aventura;KOEI TECMO;Dificil,SoulsLike,Superacion,Satisfactorio,Rodar;1
Bloodborne;Accion,Rpg,Fantasia Oscura;FromSoftware;Dificil,SoulsLike,Superacion,Satisfactorio,Rodar;1
Sekiro;Accion,Rpg,Aventura;FromSoftware;Dificil,SoulsLike,Superacion,Satisfactorio,Rodar;1
Spore;Sandbox,Simulacion,Exploracion;Electronic Arts;Especies,Civilizacion,Evolucion;1
God of War;Accion,Aventura,Rpg;Santa Monica Studio;Dificil,SoulsLike,Superacion,Satisfactorio,Rodar,Mitologia;0
